id,entity_id,entity_name,connector,title,url,content_type,parse_status,content_hash,fetched_at
raw_watch_microsoft_openai_partnership,azure,Microsoft Azure,company_ir,Microsoft and OpenAI partnership overview,https://news.microsoft.com/source/features/ai/microsoft-openai-partnership/,text/html; charset=UTF-8,fetch_failed,d8531a1ac331414d357ac014ac8813b93c2c0ea1756542ad8bacb6d352ed4891,2026-07-27T06:44:55.629Z
raw_watch_nvidia_coreweave_cloud,nvidia,NVIDIA,company_ir,NVIDIA and CoreWeave cloud infrastructure references,https://www.nvidia.com/en-us/data-center/cloud-gaming/coreweave/,text/html; charset=UTF-8,fetch_failed,a14c3813224c07f97c3fe49b14034c12edc81966d41e837e1a83943993103faf,2026-07-27T06:44:55.629Z
raw_watch_huggingface_langchain_docs,huggingface,Hugging Face,company_docs,Hugging Face documentation,https://huggingface.co/docs,text/html; charset=utf-8,parsed,594110020015120ac122e3619c7287259ee7bd2aaf2d545d8d2a1ce333af83bd,2026-07-27T06:44:55.629Z
raw_watch_openalex_openai_research,openai,OpenAI,openalex,OpenAlex works search for OpenAI large language models,https://api.openalex.org/works?search=OpenAI%20large%20language%20model&per-page=5,application/json,parsed,358183ea149b80f9341da4d9c6281f905d4404b8e0f52c6f44efdb1e6b8a07d0,2026-07-27T06:44:55.629Z
raw_watch_anthropic_news,anthropic,Anthropic,news_rss,Anthropic news feed,https://www.anthropic.com/news,text/html; charset=utf-8,parsed,65fd3599ea0abdb28a71272542271aff012781a8f569192d05ff9383750067b1,2026-07-27T06:44:55.629Z
raw_watch_openai_news_rss,openai,OpenAI,news_rss,OpenAI official news RSS,https://openai.com/news/rss.xml,text/xml; charset=utf-8,parsed,bcbac2394b463676c9424049b8debdc7d74822f56ac9f2baab5a1b8223ffafeb,2026-07-27T06:44:55.629Z
raw_watch_nvidia_blog_rss,nvidia,NVIDIA,news_rss,NVIDIA official blog RSS,https://blogs.nvidia.com/feed/,application/rss+xml; charset=UTF-8,parsed,677b87016ae6ef5c07c0729171422c036f9692966110c02ad479e2babf867602,2026-07-27T06:44:55.629Z
raw_watch_aws_ml_blog_rss,aws,AWS,news_rss,AWS Machine Learning Blog RSS,https://aws.amazon.com/blogs/machine-learning/feed/,application/rss+xml;charset=UTF-8,parsed,ce9a803474833e0e2e244104e378f2ce25f2f592e22e4cdc8df7d9f6a9b2677c,2026-07-27T06:44:55.629Z
raw_watch_meta_engineering_rss,meta_ai,Meta AI,news_rss,Meta Engineering RSS,https://engineering.fb.com/feed/,application/rss+xml; charset=UTF-8,parsed,c65fa56d318d31d097289fa32629dc6a274997ffd00f7e4220bdb31d190885fa,2026-07-27T06:44:55.629Z
