id,raw_document_id,parsed_document_id,entity_id,entity_name,connector,status,parser_status,parsed_format,extraction_method,relationship_count,metric_count,evidence_url,extracted_at
extract_raw_watch_microsoft_openai_partnership,raw_watch_microsoft_openai_partnership,parsed_raw_watch_microsoft_openai_partnership,azure,Microsoft Azure,company_ir,skipped,skipped,html,raw_document_heuristic,0,0,https://news.microsoft.com/source/features/ai/microsoft-openai-partnership/,2026-07-27T06:44:57.842Z
extract_raw_watch_nvidia_coreweave_cloud,raw_watch_nvidia_coreweave_cloud,parsed_raw_watch_nvidia_coreweave_cloud,nvidia,NVIDIA,company_ir,skipped,skipped,html,raw_document_heuristic,0,0,https://www.nvidia.com/en-us/data-center/cloud-gaming/coreweave/,2026-07-27T06:44:57.842Z
extract_raw_watch_huggingface_langchain_docs,raw_watch_huggingface_langchain_docs,parsed_raw_watch_huggingface_langchain_docs,huggingface,Hugging Face,company_docs,extracted,parsed,html,raw_document_heuristic,1,0,https://huggingface.co/docs,2026-07-27T06:44:57.842Z
extract_raw_watch_openalex_openai_research,raw_watch_openalex_openai_research,parsed_raw_watch_openalex_openai_research,openai,OpenAI,openalex,extracted,parsed,json,raw_document_heuristic,0,1,https://api.openalex.org/works?search=OpenAI%20large%20language%20model&per-page=5,2026-07-27T06:44:57.842Z
extract_raw_watch_anthropic_news,raw_watch_anthropic_news,parsed_raw_watch_anthropic_news,anthropic,Anthropic,news_rss,extracted,parsed,html,raw_document_heuristic,1,0,https://www.anthropic.com/news,2026-07-27T06:44:57.842Z
extract_raw_watch_openai_news_rss,raw_watch_openai_news_rss,parsed_raw_watch_openai_news_rss,openai,OpenAI,news_rss,extracted,parsed,rss,raw_document_heuristic,0,1,https://openai.com/news/rss.xml,2026-07-27T06:44:57.842Z
extract_raw_watch_nvidia_blog_rss,raw_watch_nvidia_blog_rss,parsed_raw_watch_nvidia_blog_rss,nvidia,NVIDIA,news_rss,extracted,parsed,rss,raw_document_heuristic,0,1,https://blogs.nvidia.com/feed/,2026-07-27T06:44:57.842Z
extract_raw_watch_aws_ml_blog_rss,raw_watch_aws_ml_blog_rss,parsed_raw_watch_aws_ml_blog_rss,aws,AWS,news_rss,extracted,parsed,rss,raw_document_heuristic,0,1,https://aws.amazon.com/blogs/machine-learning/feed/,2026-07-27T06:44:57.842Z
extract_raw_watch_meta_engineering_rss,raw_watch_meta_engineering_rss,parsed_raw_watch_meta_engineering_rss,meta_ai,Meta AI,news_rss,extracted,parsed,rss,raw_document_heuristic,0,1,https://engineering.fb.com/feed/,2026-07-27T06:44:57.842Z
